URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241071,https://insights.blackcoffer.com/ai-solutions-for-foreign-exchange-an-automated-algo-trading-tool/,8,4,0.33,0.06,19.36,37.09,22.58,19.36,79,213,2.31,4,7.54
Netclan20241072,https://insights.blackcoffer.com/ai-agent-development-and-deployment-in-jina-ai/,10,5,0.33,0.12,20.0,45.83,26.33,20.0,55,120,2.73,2,8.38
Netclan20241073,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,14,4,0.56,0.09,12.41,33.65,18.42,12.41,71,211,2.34,12,7.41
Netclan20241074,https://insights.blackcoffer.com/advanced-ai-for-trading-automation/,9,1,0.8,0.06,12.64,37.29,19.97,12.64,66,177,2.37,5,7.37
Netclan20241075,https://insights.blackcoffer.com/create-a-knowledge-graph-to-provide-real-time-analytics-recommendations-and-a-single-source-of-truth/,6,3,0.33,0.09,33.67,40.59,29.7,33.67,41,101,2.61,1,8.34
Netclan20241076,https://insights.blackcoffer.com/advanced-ai-for-thermal-person-detection/,5,0,1.0,0.08,19.67,50.85,28.21,19.67,30,59,2.97,2,9.1
Netclan20241077,https://insights.blackcoffer.com/advanced-ai-for-road-cam-threat-detection/,5,7,-0.17,0.13,23.0,46.74,27.9,23.0,43,92,2.75,1,8.7
Netclan20241078,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,7,2,0.56,0.09,20.0,49.0,27.6,20.0,49,100,2.74,2,8.76
Netclan20241079,https://insights.blackcoffer.com/handgun-detection-using-yolo/,5,0,1.0,0.07,35.0,57.14,36.86,35.0,40,70,3.24,1,9.83
Netclan20241080,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,5,6,-0.09,0.1,13.88,51.35,26.09,13.88,57,111,2.78,2,8.57
Netclan20241081,https://insights.blackcoffer.com/car-detection-in-satellite-images/,10,0,1.0,0.06,16.36,38.33,21.88,16.36,69,180,2.36,10,7.57
Netclan20241082,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,13,3,0.62,0.07,27.38,37.9,26.11,27.38,83,219,2.4,11,7.59
Netclan20241083,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,8,3,0.45,0.05,19.83,32.77,21.04,19.83,78,238,2.3,11,7.14
Netclan20241084,https://insights.blackcoffer.com/data-transformation/,19,11,0.27,0.12,19.23,30.0,19.69,19.23,75,250,2.18,11,6.77
Netclan20241085,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/,8,1,0.78,0.04,16.31,31.6,19.16,16.31,67,212,2.28,13,7.39
Netclan20241086,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/,9,0,1.0,0.05,35.6,37.64,29.3,35.6,67,178,2.29,5,7.66
Netclan20241087,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/,23,5,0.64,0.06,19.88,39.03,23.57,19.88,194,497,2.41,4,7.52
Netclan20241088,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,7,6,0.08,0.06,17.67,29.72,18.95,17.67,63,212,2.27,6,7.13
Netclan20241089,https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/,6,0,1.0,0.03,12.73,42.41,22.06,12.73,81,191,2.57,1,7.87
Netclan20241090,https://insights.blackcoffer.com/trading-bot-for-forex/,3,2,0.2,0.05,52.5,31.43,33.57,52.5,33,105,2.32,1,7.14
Netclan20241091,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/,8,2,0.6,0.06,17.6,38.64,22.49,17.6,68,176,2.45,5,7.8
Netclan20241092,https://insights.blackcoffer.com/medical-classification/,4,4,0.0,0.04,21.9,32.42,21.73,21.9,71,219,2.23,6,7.07
Netclan20241093,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/,2,2,0.0,0.02,28.33,29.41,23.1,28.33,50,170,2.19,8,7.32
Netclan20241094,https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/,6,15,-0.43,0.14,25.33,48.68,29.61,25.33,74,152,2.74,8,8.05
Netclan20241095,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,2,1,0.33,0.02,16.73,30.43,18.86,16.73,56,184,2.32,13,7.17
Netclan20241096,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,4,1,0.6,0.02,55.6,38.85,37.78,55.6,108,278,2.35,0,7.19
Netclan20241097,https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/,4,3,0.14,0.03,12.5,34.0,18.6,12.5,68,200,2.31,0,7.48
Netclan20241098,https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/,9,1,0.8,0.09,36.67,43.64,32.12,36.67,48,110,2.58,0,8.12
Netclan20241099,https://insights.blackcoffer.com/integration-of-a-product-to-a-cloud-based-crm-platform/,6,4,0.2,0.06,19.38,35.48,21.94,19.38,55,155,2.39,1,7.66
Netclan20241100,https://insights.blackcoffer.com/a-web-based-dashboard-for-the-filtered-data-retrieval-of-land-records/,11,2,0.69,0.07,36.8,29.35,26.46,36.8,54,184,2.26,0,7.37
Netclan20241101,https://insights.blackcoffer.com/integration-of-video-conferencing-data-to-the-existing-web-app/,2,0,1.0,0.01,68.5,29.93,39.37,68.5,41,137,2.39,0,7.36
Netclan20241102,https://insights.blackcoffer.com/design-develop-an-app-in-retool-which-shows-the-progress-of-the-added-video/,7,0,1.0,0.06,63.0,27.78,36.31,63.0,35,126,2.28,2,7.24
Netclan20241103,https://insights.blackcoffer.com/auvik-connectwise-integration-in-grafana/,3,3,0.0,0.04,12.14,35.88,19.21,12.14,61,170,2.53,0,7.88
Netclan20241104,https://insights.blackcoffer.com/data-integration-and-big-data-performance-using-elk-stack/,4,1,0.6,0.03,12.87,39.9,21.11,12.87,77,193,2.7,5,8.47
Netclan20241105,https://insights.blackcoffer.com/web-data-connector/,2,0,1.0,0.01,12.29,31.58,17.55,12.29,66,209,2.35,2,7.28
Netclan20241106,https://insights.blackcoffer.com/an-app-for-updating-the-email-id-of-the-user-and-stripe-refund-tool-using-retool/,9,1,0.8,0.06,53.33,25.62,31.58,53.33,41,160,2.24,2,7.09
Netclan20241107,https://insights.blackcoffer.com/an-ai-ml-based-web-application-that-detects-the-correctness-of-text-in-a-given-video/,4,5,-0.11,0.05,85.0,32.35,46.94,85.0,55,170,2.41,1,7.82
Netclan20241108,https://insights.blackcoffer.com/website-tracking-and-insights-using-google-analytics-google-tag-manager/,21,2,0.83,0.05,18.74,38.54,22.91,18.74,195,506,2.37,2,7.22
Netclan20241109,https://insights.blackcoffer.com/dashboard-to-track-the-analytics-of-the-website-using-google-analytics-and-google-tag-manager/,22,1,0.91,0.04,18.38,35.08,21.39,18.38,187,533,2.32,1,7.14
Netclan20241110,https://insights.blackcoffer.com/power-bi-dashboard-on-operations-transactions-and-marketing-embedding-the-dashboard-to-web-app/,3,3,0.0,0.04,45.33,44.12,35.78,45.33,60,136,2.5,1,7.85
Netclan20241111,https://insights.blackcoffer.com/nft-data-automation-looksrare-and-etl-tool/,6,2,0.5,0.05,17.2,30.81,19.21,17.2,53,172,2.26,2,7.09
Netclan20241112,https://insights.blackcoffer.com/optimize-the-data-scraper-program-to-easily-accommodate-large-files-and-solve-oom-errors/,7,2,0.56,0.08,28.75,47.83,30.63,28.75,55,115,2.62,1,8.1
Netclan20241113,https://insights.blackcoffer.com/making-a-robust-way-to-sync-data-from-airtables-to-mongodb-using-python-etl-solution/,4,3,0.14,0.04,34.0,36.47,28.19,34.0,62,170,2.51,1,7.78
Netclan20241114,https://insights.blackcoffer.com/incident-duration-prediction-infrastructure-and-real-estate/,2,1,0.33,0.02,20.0,45.83,26.33,20.0,55,120,2.81,4,8.77
Netclan20241115,https://insights.blackcoffer.com/statistical-data-analysis-of-reinforced-concrete/,8,1,0.78,0.04,40.67,45.9,34.63,40.67,112,244,2.76,4,8.49
Netclan20241116,https://insights.blackcoffer.com/database-normalization-segmentation-with-google-data-studio-dashboard-insights/,2,0,1.0,0.02,24.4,32.79,22.87,24.4,40,122,2.43,4,7.45
Netclan20241117,https://insights.blackcoffer.com/power-bi-dashboard-to-drive-insights-from-complex-data-to-generate-business-insights/,5,3,0.25,0.05,22.71,29.56,20.91,22.71,47,159,2.2,4,6.94
Netclan20241118,https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/,2,2,0.0,0.03,67.0,40.3,42.92,67.0,54,134,2.57,4,8.11
Netclan20241119,https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/,3,6,-0.33,0.04,34.0,37.82,28.73,34.0,90,238,2.49,7,7.36
Netclan20241120,https://insights.blackcoffer.com/power-bi-data-driven-map-dashboard/,4,0,1.0,0.03,20.5,33.33,21.53,20.5,41,123,2.45,2,7.62
Netclan20241121,https://insights.blackcoffer.com/google-local-service-ads-lsa-leads-dashboard/,38,4,0.81,0.09,13.11,31.57,17.87,13.11,149,472,2.25,2,6.94
Netclan20241122,https://insights.blackcoffer.com/aws-lex-voice-and-chatbot/,11,0,1.0,0.04,12.91,22.22,14.05,12.91,66,297,2.01,19,6.37
Netclan20241123,https://insights.blackcoffer.com/metabridges-api-decentraland-integration/,2,0,1.0,0.01,19.56,37.5,22.82,19.56,66,176,2.4,0,7.35
Netclan20241124,https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/,7,0,1.0,0.05,36.5,42.47,31.59,36.5,62,146,2.58,0,7.91
Netclan20241125,https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/,8,4,0.33,0.08,14.7,27.89,17.04,14.7,41,147,2.27,4,7.01
Netclan20241126,https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/,9,3,0.5,0.04,53.8,24.91,31.48,53.8,67,269,2.1,5,6.91
Netclan20241127,https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/,7,0,1.0,0.03,37.14,30.77,27.16,37.14,80,260,2.26,6,7.11
Netclan20241128,https://insights.blackcoffer.com/gangala-in-e-commerce-big-data-etl-elt-solution-and-data-warehouse/,7,1,0.75,0.05,13.46,29.71,17.27,13.46,52,175,2.25,5,6.95
Netclan20241129,https://insights.blackcoffer.com/big-data-solution-to-an-online-multivendor-marketplace-ecommerce-business/,20,3,0.74,0.09,62.75,33.07,38.33,62.75,83,251,2.43,10,7.29
Netclan20241130,https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/,2,3,-0.2,0.05,49.0,34.69,33.48,49.0,34,98,2.48,6,7.74
Netclan20241131,https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/,10,1,0.82,0.06,43.5,50.57,37.63,43.5,88,174,2.99,0,9.06
Netclan20241132,https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/,2,6,-0.5,0.02,22.12,24.2,18.53,22.12,91,376,2.11,8,6.59
Netclan20241133,https://insights.blackcoffer.com/quickbooks-dashboard-to-find-patterns-in-finance-sales-and-forecasts/,26,18,0.18,0.06,21.74,31.8,21.41,21.74,235,739,2.3,12,7.13
Netclan20241134,https://insights.blackcoffer.com/marketing-sales-and-financial-data-business-dashboard-wink-report/,14,3,0.65,0.04,24.88,34.28,23.66,24.88,145,423,2.39,5,7.55
Netclan20241135,https://insights.blackcoffer.com/react-native-apps-in-the-development-portfolio/,1,0,1.0,0.07,14.0,35.71,19.89,14.0,5,14,2.0,0,6.57
Netclan20241136,https://insights.blackcoffer.com/a-leading-firm-website-seo-optimization/,3,1,0.5,0.06,72.0,43.06,46.02,72.0,31,72,2.89,0,8.85
Netclan20241137,https://insights.blackcoffer.com/a-leading-hospitality-firm-in-the-usa-website-seo-optimization/,6,0,1.0,0.09,32.5,46.15,31.46,32.5,30,65,2.58,0,8.23
Netclan20241138,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-website-seo-optimization/,6,5,0.09,0.14,26.67,38.75,26.17,26.67,31,80,2.48,1,8.16
Netclan20241139,https://insights.blackcoffer.com/a-leading-musical-instrumental-website-seo-optimization/,4,1,0.6,0.1,50.0,46.0,38.4,50.0,23,50,2.92,0,9.16
Netclan20241140,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-seo-and-website-optimization/,3,1,0.5,0.07,28.0,37.5,26.2,28.0,21,56,2.82,0,9.29
Netclan20241141,https://insights.blackcoffer.com/immigration-datawarehouse-ai-based-recommendations/,13,7,0.3,0.07,24.75,35.35,24.04,24.75,105,297,2.33,21,7.31
Netclan20241142,https://insights.blackcoffer.com/lipsync-automation-for-celebrities-and-influencers/,2,0,1.0,0.03,18.75,34.67,21.37,18.75,26,75,2.6,2,8.09
Netclan20241143,https://insights.blackcoffer.com/key-audit-matters-predictive-modeling/,4,8,-0.33,0.04,22.58,39.11,24.68,22.58,106,271,2.45,3,7.3
Netclan20241144,https://insights.blackcoffer.com/splitting-of-songs-into-its-vocals-and-instrumental/,8,3,0.45,0.09,24.6,33.33,23.17,24.6,41,123,2.45,0,7.71
Netclan20241145,https://insights.blackcoffer.com/ai-and-ml-technologies-to-evaluate-learning-assessments/,13,2,0.73,0.07,14.57,38.24,21.12,14.57,78,204,2.55,10,7.77
Netclan20241146,https://insights.blackcoffer.com/datawarehouse-and-recommendations-engine-for-airbnb/,10,3,0.54,0.06,43.0,37.21,32.08,43.0,80,215,2.38,8,7.33
Netclan20241147,https://insights.blackcoffer.com/real-estate-data-warehouse/,5,0,1.0,0.03,18.44,38.55,22.8,18.44,64,166,2.45,0,7.73
Netclan20241148,https://insights.blackcoffer.com/traction-dashboards-of-marketing-campaigns-and-posts/,5,1,0.67,0.03,25.14,40.34,26.19,25.14,71,176,2.43,7,7.59
Netclan20241149,https://insights.blackcoffer.com/google-local-service-ads-lsa-data-warehouse/,4,0,1.0,0.03,62.5,44.0,42.6,62.5,55,125,2.71,0,8.07
Netclan20241150,https://insights.blackcoffer.com/google-local-service-ads-missed-calls-and-messages-automation-tool/,4,4,0.0,0.06,64.5,46.51,44.4,64.5,60,129,2.73,0,8.28
Netclan20241151,https://insights.blackcoffer.com/marketing-ads-leads-call-status-data-tool-to-bigquery/,4,0,1.0,0.04,36.0,50.0,34.4,36.0,54,108,2.89,0,8.6
Netclan20241152,https://insights.blackcoffer.com/marketing-analytics-to-automate-leads-call-status-and-reporting/,4,0,1.0,0.04,36.67,48.18,33.94,36.67,53,110,2.87,0,8.63
Netclan20241153,https://insights.blackcoffer.com/callrail-analytics-leads-report-alert/,4,0,1.0,0.04,16.14,44.25,24.16,16.14,50,113,2.73,0,8.27
Netclan20241154,https://insights.blackcoffer.com/marketing-automation-tool-to-notify-lead-details-to-clients-over-email-and-phone/,5,1,0.67,0.05,62.5,38.4,40.36,62.5,48,125,2.58,0,7.83
Netclan20241155,https://insights.blackcoffer.com/data-etl-local-service-ads-leads-to-bigquery/,6,1,0.71,0.06,42.0,40.48,32.99,42.0,51,126,2.63,0,7.83
Netclan20241156,https://insights.blackcoffer.com/marbles-stimulation-using-python/,11,1,0.83,0.06,17.45,40.1,23.02,17.45,77,192,2.45,2,7.52
Netclan20241157,https://insights.blackcoffer.com/stocktwits-data-structurization/,11,8,0.16,0.04,17.43,29.92,18.94,17.43,146,488,2.23,5,7.04
Netclan20241158,https://insights.blackcoffer.com/sentimental-analysis-on-shareholder-letter-of-companies/,10,7,0.18,0.06,27.73,52.46,32.07,27.73,160,305,2.79,3,8.2
Netclan20241159,https://insights.blackcoffer.com/population-and-community-survey-of-america/,13,8,0.24,0.04,34.14,39.33,29.39,34.14,188,478,2.47,2,7.34
Netclan20241160,https://insights.blackcoffer.com/google-lsa-api-data-automation-and-dashboarding/,20,16,0.11,0.05,16.89,34.05,20.38,16.89,253,743,2.28,6,6.91
